path,class,color
./my_sim_screenshots/red/red (1).jpg,0,red
./my_sim_screenshots/red/red (10).jpg,0,red
./my_sim_screenshots/red/red (1000).jpg,0,red
./my_sim_screenshots/red/red (1001).jpg,0,red
./my_sim_screenshots/red/red (1002).jpg,0,red
./my_sim_screenshots/red/red (1021).jpg,0,red
./my_sim_screenshots/red/red (1022).jpg,0,red
./my_sim_screenshots/red/red (1023).jpg,0,red
./my_sim_screenshots/red/red (1024).jpg,0,red
./my_sim_screenshots/red/red (1025).jpg,0,red
./my_sim_screenshots/red/red (1026).jpg,0,red
./my_sim_screenshots/red/red (1027).jpg,0,red
./my_sim_screenshots/red/red (1028).jpg,0,red
./my_sim_screenshots/red/red (1029).jpg,0,red
./my_sim_screenshots/red/red (1030).jpg,0,red
./my_sim_screenshots/red/red (1031).jpg,0,red
./my_sim_screenshots/red/red (1032).jpg,0,red
./my_sim_screenshots/red/red (1033).jpg,0,red
./my_sim_screenshots/red/red (1034).jpg,0,red
./my_sim_screenshots/red/red (1035).jpg,0,red
./my_sim_screenshots/red/red (1036).jpg,0,red
./my_sim_screenshots/red/red (1037).jpg,0,red
./my_sim_screenshots/red/red (1038).jpg,0,red
./my_sim_screenshots/red/red (1039).jpg,0,red
./my_sim_screenshots/red/red (1040).jpg,0,red
./my_sim_screenshots/red/red (1041).jpg,0,red
./my_sim_screenshots/red/red (1042).jpg,0,red
./my_sim_screenshots/red/red (1043).jpg,0,red
./my_sim_screenshots/red/red (1044).jpg,0,red
./my_sim_screenshots/red/red (1045).jpg,0,red
./my_sim_screenshots/red/red (1046).jpg,0,red
./my_sim_screenshots/red/red (1047).jpg,0,red
./my_sim_screenshots/red/red (1048).jpg,0,red
./my_sim_screenshots/red/red (1049).jpg,0,red
./my_sim_screenshots/red/red (1050).jpg,0,red
./my_sim_screenshots/red/red (1051).jpg,0,red
./my_sim_screenshots/red/red (1052).jpg,0,red
./my_sim_screenshots/red/red (1053).jpg,0,red
./my_sim_screenshots/red/red (1054).jpg,0,red
./my_sim_screenshots/red/red (1055).jpg,0,red
./my_sim_screenshots/red/red (1056).jpg,0,red
./my_sim_screenshots/red/red (1057).jpg,0,red
./my_sim_screenshots/red/red (1058).jpg,0,red
./my_sim_screenshots/red/red (1059).jpg,0,red
./my_sim_screenshots/red/red (1060).jpg,0,red
./my_sim_screenshots/red/red (1061).jpg,0,red
./my_sim_screenshots/red/red (1062).jpg,0,red
./my_sim_screenshots/red/red (1063).jpg,0,red
./my_sim_screenshots/red/red (1064).jpg,0,red
./my_sim_screenshots/red/red (1065).jpg,0,red
./my_sim_screenshots/red/red (1066).jpg,0,red
./my_sim_screenshots/red/red (1067).jpg,0,red
./my_sim_screenshots/red/red (1068).jpg,0,red
./my_sim_screenshots/red/red (1069).jpg,0,red
./my_sim_screenshots/red/red (1070).jpg,0,red
./my_sim_screenshots/red/red (1071).jpg,0,red
./my_sim_screenshots/red/red (1072).jpg,0,red
./my_sim_screenshots/red/red (1073).jpg,0,red
./my_sim_screenshots/red/red (1074).jpg,0,red
./my_sim_screenshots/red/red (1075).jpg,0,red
./my_sim_screenshots/red/red (1076).jpg,0,red
./my_sim_screenshots/red/red (1077).jpg,0,red
./my_sim_screenshots/red/red (1078).jpg,0,red
./my_sim_screenshots/red/red (1079).jpg,0,red
./my_sim_screenshots/red/red (1080).jpg,0,red
./my_sim_screenshots/red/red (1081).jpg,0,red
./my_sim_screenshots/red/red (1082).jpg,0,red
./my_sim_screenshots/red/red (1083).jpg,0,red
./my_sim_screenshots/red/red (1084).jpg,0,red
./my_sim_screenshots/red/red (1085).jpg,0,red
./my_sim_screenshots/red/red (1086).jpg,0,red
./my_sim_screenshots/red/red (1087).jpg,0,red
./my_sim_screenshots/red/red (1088).jpg,0,red
./my_sim_screenshots/red/red (1089).jpg,0,red
./my_sim_screenshots/red/red (1090).jpg,0,red
./my_sim_screenshots/red/red (1091).jpg,0,red
./my_sim_screenshots/red/red (1092).jpg,0,red
./my_sim_screenshots/red/red (1093).jpg,0,red
./my_sim_screenshots/red/red (1094).jpg,0,red
./my_sim_screenshots/red/red (1095).jpg,0,red
./my_sim_screenshots/red/red (1096).jpg,0,red
./my_sim_screenshots/red/red (1097).jpg,0,red
./my_sim_screenshots/red/red (1098).jpg,0,red
./my_sim_screenshots/red/red (1099).jpg,0,red
./my_sim_screenshots/red/red (11).jpg,0,red
./my_sim_screenshots/red/red (1100).jpg,0,red
./my_sim_screenshots/red/red (1101).jpg,0,red
./my_sim_screenshots/red/red (1102).jpg,0,red
./my_sim_screenshots/red/red (1103).jpg,0,red
./my_sim_screenshots/red/red (1104).jpg,0,red
./my_sim_screenshots/red/red (1105).jpg,0,red
./my_sim_screenshots/red/red (1106).jpg,0,red
./my_sim_screenshots/red/red (1107).jpg,0,red
./my_sim_screenshots/red/red (1108).jpg,0,red
./my_sim_screenshots/red/red (1109).jpg,0,red
./my_sim_screenshots/red/red (1110).jpg,0,red
./my_sim_screenshots/red/red (1111).jpg,0,red
./my_sim_screenshots/red/red (1112).jpg,0,red
./my_sim_screenshots/red/red (1113).jpg,0,red
./my_sim_screenshots/red/red (1114).jpg,0,red
./my_sim_screenshots/red/red (1115).jpg,0,red
./my_sim_screenshots/red/red (1116).jpg,0,red
./my_sim_screenshots/red/red (1117).jpg,0,red
./my_sim_screenshots/red/red (1118).jpg,0,red
./my_sim_screenshots/red/red (12).jpg,0,red
./my_sim_screenshots/red/red (129).jpg,0,red
./my_sim_screenshots/red/red (13).jpg,0,red
./my_sim_screenshots/red/red (130).jpg,0,red
./my_sim_screenshots/red/red (131).jpg,0,red
./my_sim_screenshots/red/red (132).jpg,0,red
./my_sim_screenshots/red/red (133).jpg,0,red
./my_sim_screenshots/red/red (134).jpg,0,red
./my_sim_screenshots/red/red (135).jpg,0,red
./my_sim_screenshots/red/red (136).jpg,0,red
./my_sim_screenshots/red/red (137).jpg,0,red
./my_sim_screenshots/red/red (138).jpg,0,red
./my_sim_screenshots/red/red (139).jpg,0,red
./my_sim_screenshots/red/red (14).jpg,0,red
./my_sim_screenshots/red/red (140).jpg,0,red
./my_sim_screenshots/red/red (141).jpg,0,red
./my_sim_screenshots/red/red (142).jpg,0,red
./my_sim_screenshots/red/red (143).jpg,0,red
./my_sim_screenshots/red/red (144).jpg,0,red
./my_sim_screenshots/red/red (145).jpg,0,red
./my_sim_screenshots/red/red (146).jpg,0,red
./my_sim_screenshots/red/red (147).jpg,0,red
./my_sim_screenshots/red/red (148).jpg,0,red
./my_sim_screenshots/red/red (149).jpg,0,red
./my_sim_screenshots/red/red (15).jpg,0,red
./my_sim_screenshots/red/red (150).jpg,0,red
./my_sim_screenshots/red/red (151).jpg,0,red
./my_sim_screenshots/red/red (152).jpg,0,red
./my_sim_screenshots/red/red (153).jpg,0,red
./my_sim_screenshots/red/red (154).jpg,0,red
./my_sim_screenshots/red/red (155).jpg,0,red
./my_sim_screenshots/red/red (156).jpg,0,red
./my_sim_screenshots/red/red (157).jpg,0,red
./my_sim_screenshots/red/red (158).jpg,0,red
./my_sim_screenshots/red/red (159).jpg,0,red
./my_sim_screenshots/red/red (16).jpg,0,red
./my_sim_screenshots/red/red (160).jpg,0,red
./my_sim_screenshots/red/red (161).jpg,0,red
./my_sim_screenshots/red/red (162).jpg,0,red
./my_sim_screenshots/red/red (163).jpg,0,red
./my_sim_screenshots/red/red (164).jpg,0,red
./my_sim_screenshots/red/red (165).jpg,0,red
./my_sim_screenshots/red/red (166).jpg,0,red
./my_sim_screenshots/red/red (167).jpg,0,red
./my_sim_screenshots/red/red (168).jpg,0,red
./my_sim_screenshots/red/red (169).jpg,0,red
./my_sim_screenshots/red/red (17).jpg,0,red
./my_sim_screenshots/red/red (170).jpg,0,red
./my_sim_screenshots/red/red (171).jpg,0,red
./my_sim_screenshots/red/red (172).jpg,0,red
./my_sim_screenshots/red/red (173).jpg,0,red
./my_sim_screenshots/red/red (174).jpg,0,red
./my_sim_screenshots/red/red (175).jpg,0,red
./my_sim_screenshots/red/red (176).jpg,0,red
./my_sim_screenshots/red/red (177).jpg,0,red
./my_sim_screenshots/red/red (178).jpg,0,red
./my_sim_screenshots/red/red (179).jpg,0,red
./my_sim_screenshots/red/red (18).jpg,0,red
./my_sim_screenshots/red/red (180).jpg,0,red
./my_sim_screenshots/red/red (181).jpg,0,red
./my_sim_screenshots/red/red (182).jpg,0,red
./my_sim_screenshots/red/red (183).jpg,0,red
./my_sim_screenshots/red/red (184).jpg,0,red
./my_sim_screenshots/red/red (185).jpg,0,red
./my_sim_screenshots/red/red (186).jpg,0,red
./my_sim_screenshots/red/red (187).jpg,0,red
./my_sim_screenshots/red/red (188).jpg,0,red
./my_sim_screenshots/red/red (189).jpg,0,red
./my_sim_screenshots/red/red (19).jpg,0,red
./my_sim_screenshots/red/red (190).jpg,0,red
./my_sim_screenshots/red/red (191).jpg,0,red
./my_sim_screenshots/red/red (192).jpg,0,red
./my_sim_screenshots/red/red (193).jpg,0,red
./my_sim_screenshots/red/red (194).jpg,0,red
./my_sim_screenshots/red/red (195).jpg,0,red
./my_sim_screenshots/red/red (196).jpg,0,red
./my_sim_screenshots/red/red (197).jpg,0,red
./my_sim_screenshots/red/red (198).jpg,0,red
./my_sim_screenshots/red/red (199).jpg,0,red
./my_sim_screenshots/red/red (2).jpg,0,red
./my_sim_screenshots/red/red (20).jpg,0,red
./my_sim_screenshots/red/red (200).jpg,0,red
./my_sim_screenshots/red/red (201).jpg,0,red
./my_sim_screenshots/red/red (202).jpg,0,red
./my_sim_screenshots/red/red (203).jpg,0,red
./my_sim_screenshots/red/red (204).jpg,0,red
./my_sim_screenshots/red/red (205).jpg,0,red
./my_sim_screenshots/red/red (206).jpg,0,red
./my_sim_screenshots/red/red (207).jpg,0,red
./my_sim_screenshots/red/red (208).jpg,0,red
./my_sim_screenshots/red/red (209).jpg,0,red
./my_sim_screenshots/red/red (21).jpg,0,red
./my_sim_screenshots/red/red (210).jpg,0,red
./my_sim_screenshots/red/red (211).jpg,0,red
./my_sim_screenshots/red/red (212).jpg,0,red
./my_sim_screenshots/red/red (213).jpg,0,red
./my_sim_screenshots/red/red (214).jpg,0,red
./my_sim_screenshots/red/red (215).jpg,0,red
./my_sim_screenshots/red/red (216).jpg,0,red
./my_sim_screenshots/red/red (217).jpg,0,red
./my_sim_screenshots/red/red (218).jpg,0,red
./my_sim_screenshots/red/red (219).jpg,0,red
./my_sim_screenshots/red/red (22).jpg,0,red
./my_sim_screenshots/red/red (220).jpg,0,red
./my_sim_screenshots/red/red (221).jpg,0,red
./my_sim_screenshots/red/red (222).jpg,0,red
./my_sim_screenshots/red/red (223).jpg,0,red
./my_sim_screenshots/red/red (224).jpg,0,red
./my_sim_screenshots/red/red (225).jpg,0,red
